team_name,player_name,from_team_name,transfer_date,fee,contract_length
América,Juan Pérez,Atlas,2024-06-10,5000000,3
Tigres UANL,Carlos Sánchez,Monterrey,2024-07-01,7500000,4
León,Miguel Fernández,Pachuca,2024-06-20,4000000,2
Santos Laguna,Ricardo López,Tijuana,2024-07-05,6000000,3
Atlas,Fernando Rodríguez,Necaxa,2024-06-15,5,500000,3
Querétaro,David García,Toluca,2024-07-10,3,500000,2
Pumas UNAM,José Martínez,Mazatlán,2024-06-25,4,500000,3
Monterrey,Luis Hernández,Pachuca,2024-07-15,6,500000,4
Chivas de Guadalajara,Andrés Gómez,Atlético San Luis,2024-06-30,7000000,5
Club América,Roberto Alvarez,Morelia,2024-07-01,5000000,4
